time,Vn026

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

1.592843749488538e-009,0.000000e+000

1.690499999488538e-009,0.000000e+000

1.788156249488538e-009,0.000000e+000

1.902343750000000e-009,0.000000e+000

2.045215624283953e-009,0.000000e+000

2.194546873465614e-009,0.000000e+000

2.292203123465614e-009,0.000000e+000

2.389859373465614e-009,0.000000e+000

2.487515623465613e-009,0.000000e+000

2.585171873465613e-009,0.000000e+000

2.682828123465613e-009,0.000000e+000

2.780484373465613e-009,0.000000e+000

2.878140623465613e-009,0.000000e+000

3.073453123465613e-009,0.000000e+000

3.268765623465613e-009,0.000000e+000

3.464078123465612e-009,0.000000e+000

3.757046873465612e-009,0.000000e+000

6.003140623465610e-009,0.000000e+000

1.694064062346565e-008,0.000000e+000

2.006699218750001e-008,0.000000e+000

2.092480468750002e-008,0.000000e+000

2.180371093750001e-008,0.000000e+000

2.336621093750000e-008,0.000000e+000

2.424511718749999e-008,0.000000e+000

2.512402343749998e-008,0.000000e+000

2.639355468749997e-008,0.000000e+000

2.649121093749997e-008,0.000000e+000

2.776074218749995e-008,0.000000e+000

2.912792968749994e-008,0.000000e+000

3.059277343749995e-008,0.000000e+000

3.215527343749999e-008,0.000000e+000

3.381542968750003e-008,0.000000e+000

3.567089843750008e-008,0.000000e+000

3.772167968750013e-008,0.000000e+000

4.006542968750018e-008,0.000000e+000

4.279980468750025e-008,2.793982e-007

4.397167968750028e-008,3.400991e-006

4.465527343750030e-008,7.484063e-006

4.553417968750032e-008,1.504822e-005

4.641308593750034e-008,2.528724e-005

4.846386718750039e-008,6.073434e-005

5.080761718750045e-008,1.233173e-004

5.354199218750051e-008,2.297904e-004

5.578808593750057e-008,3.466246e-004

5.969433593750066e-008,6.174299e-004

6.213574218750072e-008,8.278273e-004

6.360058593750076e-008,9.622275e-004

6.809277343750087e-008,1.404376e-003

7.209667968750096e-008,1.822096e-003

7.668652343750107e-008,2.309633e-003

8.205761718750121e-008,2.872003e-003

8.508496093750128e-008,3.178629e-003

9.250683593750146e-008,3.882899e-003

9.990234375000001e-008,4.502944e-003

1.000000000000000e-007,4.510541e-003

